text,left_pixels,top_pixels,width_pixels,height_pixels,page
device ,460,1757,102,38,3
information ,568,1757,182,38,3
associated ,758,1757,158,38,3
with ,924,1757,70,38,3
the ,1003,1757,48,38,3
Account,1059,1757,129,39,3
", ",1186,1758,8,38,3
including ,1204,1758,147,38,3
but ,1360,1758,50,38,3
"not
",1420,1758,49,38,3
limited ,199,1841,106,36,3
to,316,1841,31,36,3
", ",346,1841,8,36,3
manufacture ,365,1841,193,36,3
names,569,1841,95,36,3
", ",666,1841,8,36,3
model ,685,1841,94,36,3
numbers,789,1841,134,36,3
", ",924,1841,8,36,3
serial ,941,1841,82,37,3
number,1032,1842,119,36,3
", ",1152,1842,8,36,3
media ,1170,1842,94,36,3
access ,1273,1842,93,36,3
"control
",1376,1842,106,36,3
(,192,1927,19,39,3
MAC,205,1927,90,39,3
) ,289,1927,13,39,3
addresses,312,1927,150,39,3
", ",463,1927,8,39,3
international ,481,1927,196,39,3
mobile ,686,1927,104,39,3
equipment ,798,1927,167,39,3
identifier ,974,1927,140,39,3
(,1124,1927,10,39,3
IMEI,1133,1927,75,39,3
) ,1209,1927,10,39,3
numbers,1231,1927,133,39,3
", ",1364,1927,9,39,3
FCC ,1383,1927,68,39,3
"ID
",1459,1927,38,39,3
numbers,197,2012,133,40,3
", ",331,2012,9,40,3
Android ,350,2012,131,40,3
IDs,491,2012,51,40,3
", ",543,2012,8,40,3
advertising ,561,2012,173,40,3
ID ,743,2012,39,40,3
numbers ,789,2012,134,40,3
(,933,2012,11,40,3
GAID,942,2012,95,40,3
),1035,2012,11,40,3
", ",1047,2012,9,40,3
and ,1065,2012,57,40,3
telephone ,1131,2012,149,40,3
numbers,1290,2012,133,40,3
; ,1425,2012,8,40,3
"and
",1442,2013,57,40,3
Case ,304,2170,92,38,3
2,397,2170,25,38,3
:,419,2170,6,38,3
21,426,2170,41,38,3
-,462,2170,16,38,3
mj,477,2170,35,38,3
-,505,2170,20,38,3
00530,524,2170,100,38,3
-,622,2170,12,38,3
SCD ,632,2170,75,38,3
Filed ,755,2170,74,38,3
12/22/21 ,838,2170,133,38,3
Page ,1020,2170,81,38,3
5 ,1107,2170,23,38,3
of ,1138,2170,31,38,3
6 ,1175,2170,24,38,3
Document ,1244,2170,156,38,3
"2
",1411,2170,21,38,3
i,308,220,18,24,4
".
",320,220,10,24,4
Evidence ,411,219,143,39,4
indicating ,565,219,153,39,4
the ,728,219,46,39,4
geographic ,783,219,170,40,4
location ,962,220,121,39,4
of ,1092,220,31,39,4
email ,1130,220,84,39,4
access ,1223,220,92,39,4
points,1326,220,95,39,4
".
",1423,220,7,39,4
Case ,305,2172,94,36,4
2,398,2172,24,36,4
:,421,2172,6,36,4
21,428,2172,42,36,4
-,465,2172,13,36,4
mj,478,2172,35,36,4
-,509,2172,17,36,4
00530,524,2172,100,36,4
-,624,2172,9,36,4
SCD ,633,2172,74,36,4
Filed ,757,2172,73,36,4
12/22/21 ,839,2172,133,36,4
Page ,1021,2172,82,36,4
6 ,1109,2172,23,36,4
of ,1140,2172,31,36,4
6 ,1176,2172,23,36,4
Document ,1245,2172,156,36,4
"2
",1412,2172,22,36,4
