filename,page,width,height
examples/pdfs/modified_replacement_scanned/wied-221mj00530SCD_ocr.csv,3,1758,2275
examples/pdfs/modified_replacement_scanned/wied-221mj00530SCD_ocr.csv,4,1758,2275
examples/pdfs/modified_ocrmistake_scanned/casdc-323mj02081wvg-060823_ocr.csv,0,1758,2275
examples/pdfs/modified_ocrmistake_scanned/casdc-323mj02081wvg-060823_ocr.csv,1,1758,2275
examples/pdfs/modified_ocrmistake_scanned/casdc-323mj02081wvg-060823_ocr.csv,2,1758,2275
examples/pdfs/modified_ocrmistake_scanned/casdc-323mj02081wvg-060823_ocr.csv,3,1758,2275
examples/pdfs/modified_ocrmistake_scanned/casdc-323mj02081wvg-060823_ocr.csv,4,1758,2275
examples/pdfs/modified_ocrmistake_scanned/casdc-323mj02081wvg-060823_ocr.csv,5,1758,2275
examples/pdfs/modified_ocrmistake_digital/casdc-323mj02081wvg-060823_ocr.csv,0,1758,2275
examples/pdfs/modified_ocrmistake_digital/casdc-323mj02081wvg-060823_ocr.csv,1,1758,2275
examples/pdfs/modified_ocrmistake_digital/casdc-323mj02081wvg-060823_ocr.csv,2,1758,2275
examples/pdfs/modified_ocrmistake_digital/casdc-323mj02081wvg-060823_ocr.csv,3,1758,2275
examples/pdfs/modified_ocrmistake_digital/casdc-323mj02081wvg-060823_ocr.csv,4,1758,2275
examples/pdfs/modified_ocrmistake_digital/casdc-323mj02081wvg-060823_ocr.csv,5,1758,2275
examples/pdfs/modified_ocrmistake_digital/wied-221mj00530SCD_ocr.csv,0,1758,2275
examples/pdfs/modified_ocrmistake_digital/wied-221mj00530SCD_ocr.csv,1,1758,2275
examples/pdfs/modified_ocrmistake_digital/wied-221mj00530SCD_ocr.csv,2,1758,2275
examples/pdfs/modified_ocrmistake_digital/wied-221mj00530SCD_ocr.csv,3,1758,2275
